,category,label,year,sales
427,3RM,Bukit Timah-3RM,2007,412500
428,4RM,Bukit Timah-4RM,2007,670000
429,5RM,Bukit Timah-5RM,2007,813000
430,EXE,Bukit Timah-EXE,2007,918000
431,3RM,Central Area-3RM,2007,412500
432,4RM,Central Area-4RM,2007,815000
433,5RM,Central Area-5RM,2007,960000
434,3RM,Choa Chu Kang-3RM,2007,273000
435,4RM,Choa Chu Kang-4RM,2007,344000
436,5RM,Choa Chu Kang-5RM,2007,410000
437,EXE,Choa Chu Kang-EXE,2007,536500
438,3RM,Clementi-3RM,2007,338000
439,4RM,Clementi-4RM,2007,551000
440,5RM,Clementi-5RM,2007,738000
441,EXE,Clementi-EXE,2007,828500
442,3RM,Geylang-3RM,2007,273500
443,4RM,Geylang-4RM,2007,492500
444,5RM,Geylang-5RM,2007,635000
445,EXE,Geylang-EXE,2007,775000
446,3RM,Hougang-3RM,2007,290000
447,4RM,Hougang-4RM,2007,385000
448,5RM,Hougang-5RM,2007,478000
449,EXE,Hougang-EXE,2007,650000
450,3RM,Jurong East-3RM,2007,285000
451,4RM,Jurong East-4RM,2007,420000
452,5RM,Jurong East-5RM,2007,524444
453,EXE,Jurong East-EXE,2007,708500
454,3RM,Jurong West-3RM,2007,270000
455,4RM,Jurong West-4RM,2007,362250
456,5RM,Jurong West-5RM,2007,458000
457,EXE,Jurong West-EXE,2007,560000
458,3RM,Kallang/Whampoa-3RM,2007,323000
459,4RM,Kallang/Whampoa-4RM,2007,534000
460,5RM,Kallang/Whampoa-5RM,2007,710000
461,EXE,Kallang/Whampoa-EXE,2007,795000
462,3RM,Marine Parade-3RM,2007,400000
463,4RM,Marine Parade-4RM,2007,525000
464,5RM,Marine Parade-5RM,2007,830000
465,3RM,Pasir Ris-3RM,2007,300000
466,4RM,Pasir Ris-4RM,2007,400000
467,5RM,Pasir Ris-5RM,2007,475000
468,EXE,Pasir Ris-EXE,2007,602444
469,3RM,Punggol-3RM,2007,358000
470,4RM,Punggol-4RM,2007,440000
471,5RM,Punggol-5RM,2007,440000
472,EXE,Punggol-EXE,2007,552500
473,3RM,Queenstown-3RM,2007,355000
474,4RM,Queenstown-4RM,2007,700000
475,5RM,Queenstown-5RM,2007,816500
476,EXE,Queenstown-EXE,2007,951500
477,3RM,Sembawang-3RM,2007,0
478,4RM,Sembawang-4RM,2007,348000
479,5RM,Sembawang-5RM,2007,408000
480,EXE,Sembawang-EXE,2007,475000
481,3RM,Sengkang-3RM,2007,350000
482,4RM,Sengkang-4RM,2007,413000
483,5RM,Sengkang-5RM,2007,440000
484,EXE,Sengkang-EXE,2007,555444
485,3RM,Serangoon-3RM,2007,320000
486,4RM,Serangoon-4RM,2007,443800
487,5RM,Serangoon-5RM,2007,520000
488,EXE,Serangoon-EXE,2007,700000
489,3RM,Tampines-3RM,2007,325000
490,4RM,Tampines-4RM,2007,430000
491,5RM,Tampines-5RM,2007,532500
492,EXE,Tampines-EXE,2007,650000
493,3RM,Toa Payoh-3RM,2007,303444
494,4RM,Toa Payoh-4RM,2007,598000
495,5RM,Toa Payoh-5RM,2007,848444
496,EXE,Toa Payoh-EXE,2007,850000
497,3RM,Woodlands-3RM,2007,263000
498,4RM,Woodlands-4RM,2007,345000
499,5RM,Woodlands-5RM,2007,415000
500,EXE,Woodlands-EXE,2007,585000
501,3RM,Yishun-3RM,2007,278000
502,4RM,Yishun-4RM,2007,350000
503,5RM,Yishun-5RM,2007,465000
504,EXE,Yishun-EXE,2007,587000
505,3RM,Ang Mo Kio-3RM,2008,288000
506,4RM,Ang Mo Kio-4RM,2008,445000
507,5RM,Ang Mo Kio-5RM,2008,700000
508,EXE,Ang Mo Kio-EXE,2008,815000
509,3RM,Bedok-3RM,2008,290000
510,4RM,Bedok-4RM,2008,405000
511,5RM,Bedok-5RM,2008,580000
512,EXE,Bedok-EXE,2008,720000
513,3RM,Bishan-3RM,2008,362500
514,4RM,Bishan-4RM,2008,550000
515,5RM,Bishan-5RM,2008,750000
516,EXE,Bishan-EXE,2008,900000
517,3RM,Bukit Batok-3RM,2008,262000
518,4RM,Bukit Batok-4RM,2008,380000
519,5RM,Bukit Batok-5RM,2008,520000
520,EXE,Bukit Batok-EXE,2008,608000
521,3RM,Bukit Merah-3RM,2008,340000
522,4RM,Bukit Merah-4RM,2008,660000
523,5RM,Bukit Merah-5RM,2008,788444
524,3RM,Bukit Panjang-3RM,2008,282000
525,4RM,Bukit Panjang-4RM,2008,362000
526,5RM,Bukit Panjang-5RM,2008,465000
527,EXE,Bukit Panjang-EXE,2008,580000
528,3RM,Bukit Timah-3RM,2008,430000
529,4RM,Bukit Timah-4RM,2008,634000
530,5RM,Bukit Timah-5RM,2008,818000
531,EXE,Bukit Timah-EXE,2008,946500
532,3RM,Central Area-3RM,2008,390000
533,4RM,Central Area-4RM,2008,850000
534,5RM,Central Area-5RM,2008,982000
535,3RM,Choa Chu Kang-3RM,2008,273000
536,4RM,Choa Chu Kang-4RM,2008,335000
537,5RM,Choa Chu Kang-5RM,2008,400000
538,EXE,Choa Chu Kang-EXE,2008,535000
539,3RM,Clementi-3RM,2008,318000
540,4RM,Clementi-4RM,2008,591500
541,5RM,Clementi-5RM,2008,685000
542,EXE,Clementi-EXE,2008,858000
543,3RM,Geylang-3RM,2008,285000
544,4RM,Geylang-4RM,2008,484000
545,5RM,Geylang-5RM,2008,653500
546,EXE,Geylang-EXE,2008,752000
547,3RM,Hougang-3RM,2008,282000
548,4RM,Hougang-4RM,2008,380000
549,5RM,Hougang-5RM,2008,475000
550,EXE,Hougang-EXE,2008,668000
551,3RM,Jurong East-3RM,2008,282000
552,4RM,Jurong East-4RM,2008,410000
553,5RM,Jurong East-5RM,2008,535000
554,EXE,Jurong East-EXE,2008,650000
555,3RM,Jurong West-3RM,2008,250000
556,4RM,Jurong West-4RM,2008,350000
557,5RM,Jurong West-5RM,2008,433500
558,EXE,Jurong West-EXE,2008,545000
559,3RM,Kallang/Whampoa-3RM,2008,305000
560,4RM,Kallang/Whampoa-4RM,2008,525000
561,5RM,Kallang/Whampoa-5RM,2008,705000
562,EXE,Kallang/Whampoa-EXE,2008,766000
563,3RM,Marine Parade-3RM,2008,395000
564,4RM,Marine Parade-4RM,2008,525000
565,5RM,Marine Parade-5RM,2008,830000
566,3RM,Pasir Ris-3RM,2008,295000
567,4RM,Pasir Ris-4RM,2008,405000
568,5RM,Pasir Ris-5RM,2008,478000
569,EXE,Pasir Ris-EXE,2008,617000
570,3RM,Punggol-3RM,2008,348000
571,4RM,Punggol-4RM,2008,448888
572,5RM,Punggol-5RM,2008,436250
573,EXE,Punggol-EXE,2008,545000
574,3RM,Queenstown-3RM,2008,344000
575,4RM,Queenstown-4RM,2008,718000
576,5RM,Queenstown-5RM,2008,830000
577,EXE,Queenstown-EXE,2008,983000
578,3RM,Sembawang-3RM,2008,283000
579,4RM,Sembawang-4RM,2008,335000
580,5RM,Sembawang-5RM,2008,388000
581,EXE,Sembawang-EXE,2008,473000
582,3RM,Sengkang-3RM,2008,334500
583,4RM,Sengkang-4RM,2008,405000
584,5RM,Sengkang-5RM,2008,438000
585,EXE,Sengkang-EXE,2008,550000
586,3RM,Serangoon-3RM,2008,307500
587,4RM,Serangoon-4RM,2008,450000
588,5RM,Serangoon-5RM,2008,510000
589,EXE,Serangoon-EXE,2008,700000
590,3RM,Tampines-3RM,2008,330000
591,4RM,Tampines-4RM,2008,428000
592,5RM,Tampines-5RM,2008,535000
593,EXE,Tampines-EXE,2008,668888
594,3RM,Toa Payoh-3RM,2008,275000
595,4RM,Toa Payoh-4RM,2008,592500
596,5RM,Toa Payoh-5RM,2008,832888
597,EXE,Toa Payoh-EXE,2008,826000
598,3RM,Woodlands-3RM,2008,260000
599,4RM,Woodlands-4RM,2008,328000
600,5RM,Woodlands-5RM,2008,403400
601,EXE,Woodlands-EXE,2008,565000
602,3RM,Yishun-3RM,2008,263000
603,4RM,Yishun-4RM,2008,340000
604,5RM,Yishun-5RM,2008,450000
605,EXE,Yishun-EXE,2008,562500
606,3RM,Ang Mo Kio-3RM,2009,275000
607,4RM,Ang Mo Kio-4RM,2009,405000
608,5RM,Ang Mo Kio-5RM,2009,628000
609,EXE,Ang Mo Kio-EXE,2009,801444
610,3RM,Bedok-3RM,2009,278000
611,4RM,Bedok-4RM,2009,390000
612,5RM,Bedok-5RM,2009,562000
613,EXE,Bedok-EXE,2009,714000
